accession	status	api_http_status	model_http_status	model_version	model_url	sha256	bytes	error
D0MZL5	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0MZL5-F1-model_v6.pdb	df4217f5864fe7aecb53d2f28799ee05e75f2b1be6d405e979679946dfd6a404	97199	
D0N607	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0N607-F1-model_v6.pdb	115efdfef6a93b670cdc78610043d8fd683389624cee82a0df5f67a65520ccd0	133163	
D0NBV1	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0NBV1-F1-model_v6.pdb	55cd51da3e7afb14b9f1f44e9c5eb5bda83e62488d642bdba879e59786cb104a	82457	
D0NBV3	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0NBV3-F1-model_v6.pdb	b5490e7b9cf8f3197af802546688540a3af1bfa60fc612c33761eb86026c33f0	81971	
D0NPN8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0NPN8-F1-model_v6.pdb	65bed668e3403eb8b16ca09645e0bd6d819bf0c79f0e91d234092c62254ffced	99710	
D0NRS4	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0NRS4-F1-model_v6.pdb	c63a5f3a7c70ef81aa5dc220246da4b35d5a99e92054bde9755912fcda285e01	496286	
D0NTY1	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0NTY1-F1-model_v6.pdb	7f7c03f1e542d31a61dd0d8d141c09b3af5efead435ce56b6957d62efa73918e	103112	
D0NVB5	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0NVB5-F1-model_v6.pdb	d9969834a2a22fb2d2a29365873d5d404dfb54d43baf0bf132c78fa3c6a08337	138752	
D0NXM3	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0NXM3-F1-model_v6.pdb	9b0af7a989d687618e1a60885e0fac242a2aca43db87a07657ab5af987887fdd	98252	
D0P1A8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0P1A8-F1-model_v6.pdb	4e749c3aa2fe21710321cabc7cf38eae514f19e1247b3f7b0f3a14bb81a5d373	66338	
D0P1B2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0P1B2-F1-model_v6.pdb	3e7cd4d1f448d45327a79303bd3db32fd7137f06e60f28c8ae1abbc7bffce2b0	65933	
D0P3S7	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-D0P3S7-F1-model_v6.pdb	5b2363caa4e50b87152e29f6296dff2ee79b3282f72f55ea1d42b78d905f8998	103517	
E0W4Y2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-E0W4Y2-F1-model_v6.pdb	ca1187968e1eff8cebd20be8cd7a159dd8ad225756723fa772f08ec877f55f9d	128708	
E0W544	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-E0W544-F1-model_v6.pdb	a29af2fe8a95d70ae333f454215ae57c237e53f5cf4b99fef3f26907dacefa97	93230	
E0W547	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-E0W547-F1-model_v6.pdb	1c90c1fd8af1d453ccd8a9a0f5de2515630a6dd5257eeb49f9d0c5b85f20d73a	93635	
E3QKL1	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-E3QKL1-F1-model_v6.pdb	96f710fcdb3da7ce48dbd60969315723c9804a23161344253e328dccbed300f0	404351	
F4RBY2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-F4RBY2-F1-model_v6.pdb	446796c7ebe71198547a43cdbd75c106ad728e5a11d1d74ec7bda1a977ad3258	59291	
F9XHX3	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-F9XHX3-F1-model_v6.pdb	ee7c34864b2f1473597848daaa2a9cace3ad45160b06dc944498172c68e7d146	64151	
F9XMT4	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-F9XMT4-F1-model_v6.pdb	ef3cc8a4b82c83a4f85ba6e7a7e8c10e60f105ac0e80cdee274b2994c932a5d1	142154	
G2WSX9	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2WSX9-F1-model_v6.pdb	da4b6f14d8b27c0425cbcde42fbfd19885d1665edda7f04d1251d03469589ae6	234494	
G2WWV6	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2WWV6-F1-model_v6.pdb	6d8a29330c941179a1415436ddbf00fe2245d1481043c6b350b97b5313b6d0cb	97442	
G2X444	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2X444-F1-model_v6.pdb	3d81fda3024b14b71e84d94a082771773ff1fe5248be16e57022151aa9f55c66	425330	
G2X4G0	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2X4G0-F1-model_v6.pdb	2fd836cd7994bdbb65227152744d4417b6d6fe2ed6a17a2c7798829b2980576b	142883	
G2X4U8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2X4U8-F1-model_v6.pdb	ad3257d83a7bc96552b9766e7a8e258b92152cef8769b9eb0e8751c38511cc05	96875	
G2X9W2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2X9W2-F1-model_v6.pdb	efd26d499142a93e5ab1c2a0a8a51434d254cf3c3d532110aee96b650d4d856e	135755	
G2XA95	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2XA95-F1-model_v6.pdb	16e4d338b4ac61da4923f614d85ed41ae4c31cf284635390808a65fad3c8a678	315737	
G2XDH0	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G2XDH0-F1-model_v6.pdb	6c639d3d19c3662585b91757bf758486acb258759d4164d37e356c37bf44ae35	205577	
G4MRT1	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G4MRT1-F1-model_v6.pdb	b37f4a5fe0952d230d7f78b97e7025012e7753b9bdd9ef20f1291600a6df9eaa	86669	
G4MVZ2	not_in_afdb	404					0	
G4N906	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G4N906-F1-model_v6.pdb	7d36d62dd6faa8c633382504d43dbfb53b87ff87ef6eacf48e379c845aea5197	100034	
G4YRX5	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G4YRX5-F1-model_v6.pdb	b0a713149b971f37d954b85327189b48665faf54ad135d4e2f5b6a2c49281491	74681	
G4ZHR2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G4ZHR2-F1-model_v6.pdb	2486d27c80340e23ca79e01505749081b53d05a3e6070161a9101f183e037019	151307	
G4ZLE6	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G4ZLE6-F1-model_v6.pdb	57b850667c66bf2666bac196bac135e9cf39c73dfdbf38cbcd206a350d1f3bca	84482	
G4ZRQ7	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G4ZRQ7-F1-model_v6.pdb	532349b3b62dec0c533cf2e2beb9b653bed7a0ce4976256e37527eeca4db64d5	181034	
G4ZSG0	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G4ZSG0-F1-model_v6.pdb	9be8055ed1706ad4b922d3a41c3d5104e9445f78160212a6ca6bebeda7846873	81647	
G5ADB3	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G5ADB3-F1-model_v6.pdb	1190a9266196915e9b5feb5fd66411ddeed931e3d478ac6752c74bc065a6456e	434159	
G5EHQ6	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G5EHQ6-F1-model_v6.pdb	baadfaf71ca7829abda0bde1249b83d7701776928ccd97a493a0e85842798a36	73223	
G5EI17	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G5EI17-F1-model_v6.pdb	c6169da1d921ece5d542b2c262d9556345754f9844af8f3b74765509c6285b5f	36449	
G5EI71	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-G5EI71-F1-model_v6.pdb	e9a4e81d40af28159fd2c07516ba0dcdf665cbf100f1c177a15b2b8e3e5dc221	97442	
H1UVH3	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-H1UVH3-F1-model_v6.pdb	a002736e8cc14e5cf023c667148414311841c1ee97cc2cf20eaf4664667617ba	107081	
H1VSQ9	not_in_afdb	404					0	
H7CE70	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-H7CE70-F1-model_v6.pdb	f237435020789aa0fdc12268cd296789cb3234a8520c8af958811746124bd321	35882	
H9BPR8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-H9BPR8-F1-model_v6.pdb	99a93f1622a0ee3f4de19fdf1ccf273fbc8241e04c11afc61d8d2cc129206f73	120284	
J4URT3	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-J4URT3-F1-model_v6.pdb	28362204d0ba5dd8fe5bc383e2ac00822f365c3c78591e64c7e89ec818a9feb7	255068	
J5J7Y8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-J5J7Y8-F1-model_v6.pdb	b7d071913a46254e30f891a5ef977900db29dd4b075ec646f78643cd62251fe4	108053	
J9VQE5	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-J9VQE5-F1-model_v6.pdb	d36ca2bc4dc1139040f3fdfaa6b6968bec7f935c43d2d091459e451f97c9d2a1	124739	
L7NCR0	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-L7NCR0-F1-model_v6.pdb	5aeb6df8d1bee79c025c80eba41a283c9d0435145415e0877c5ce4930f0489bd	151955	
L7NCS1	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-L7NCS1-F1-model_v6.pdb	334e6975f577f9e489a8649345c81b762a7bccc52aa81ef53c4ec54b3a536b05	151388	
M4B6G6	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-M4B6G6-F1-model_v6.pdb	c124c95ad92b7e476d8897951292a1158546f06754b35702d785268208ccd614	206630	
M4C367	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-M4C367-F1-model_v6.pdb	26dfd70451313a06ff989042a11c72d8376dd3a27eacd1a9a89a8c0023e0c48c	123605	
M4C699	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-M4C699-F1-model_v6.pdb	9bf0bfa994b2ebfcce2c9ec9c8a777d86d195bc3a56b2c7ed21b6955a0712f40	242756	
P0CU91	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-P0CU91-F1-model_v6.pdb	27b54307e6f733b33760775aedb3cbb06dae37f1ca392d332e85c2e5249c34f9	102140	
P22287	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-P22287-F1-model_v6.pdb	d390108bd59937988232af624a7a0dccab67fdc368e6166ae3feb90e011221ff	42200	
P79085	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-P79085-F1-model_v6.pdb	b0564620ad9e069ca1d8e18458ca1dc3b1f23297c65b61d43308fc54448654b6	101654	
P9WEM2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-P9WEM2-F1-model_v6.pdb	96f2376ace31838bb8f6ef5cd335cb2b98f6bea341bb71a0f255a15fac4b0280	68930	
Q00363	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q00363-F1-model_v6.pdb	53cddf85b6263a290678f3316360a3f8bfc0360b3dbfcae043222f6566c520d8	87317	
Q2KEJ2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q2KEJ2-F1-model_v6.pdb	f8b125b149142ec6ebd284d45c472c42ac3f8c0103778f610b4ea975699fbdce	129113	
Q5G7K8	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q5G7K8-F1-model_v6.pdb	fa4345f25935ee1ea00bef3a59edfe6104b2d9a40bb1b70803f1645626941a91	101492	
Q6PQG3	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q6PQG3-F1-model_v6.pdb	0cf7b7504bfee30d16f62fb4dbcf1916fbb408ace8c5abb7ec30f20e4cb56298	137213	
Q6PQH2	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q6PQH2-F1-model_v6.pdb	1ced8e5dbcd5884a94940359339537f8159834dc5d536d9dec03613b9b9c1986	95741	
Q8H6Z4	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q8H6Z4-F1-model_v6.pdb	8da3cb8fca6bb0902dad704539339d8225b26a7193ead364c49f6766c88f1287	292895	
Q8H6Z6	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q8H6Z6-F1-model_v6.pdb	338bf5efcb7746646f0a36a7d28eebedbddce0bd51f7f370acf6b460c444d1f4	278639	
Q945T9	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q945T9-F1-model_v6.pdb	401a2bf674e5012315a057996e75af33045a5c5ff9bed396cee05b75f452968c	177389	
Q945U0	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q945U0-F1-model_v6.pdb	ad22ed50259a772271d0865836a5c860dab4c799b0d8614d5f9b7b9d90ae819b	155924	
Q9AT28	fetched	200	200	6	https://alphafold.ebi.ac.uk/files/AF-Q9AT28-F1-model_v6.pdb	2b6d236e66b55e84fa9f23fd08521d3985cb929bf508dc631c29f87b41a9266f	150659	
