accession	uniprot_accession	source_database	source_release	organism	lifestyle	length	cysteine_count	cysteine_fraction	publication_year	functional_evidence	experiment	q4_tool_independent	sequence_sha256
A0A0A2JJP9		PHI-base	v4.19	Penicillium expansum	unknown	297	8	0.026936	2025	hypersensitive response assay	Gene deletion: full	yes	cc804106a57ca37b24ef644d1d7f6433abf9ed52bed857ef9d9cc09a07ecac10
A0A0A2JVC2	A0A0A2JVC2	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Penicillium expansum; Penicillium expansum (Blue mold rot fungus)	unknown	344	16	0.046512	2017	hypersensitive response assay	Gene deletion: full; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	a8687c6775c9b3adb0fe2fa7b6458156d6ffb84ac03aba15531e138ad5697a87
A0A0A2JY92	A0A0A2JY92	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Penicillium expansum; Penicillium expansum (Blue mold rot fungus)	unknown	316	16	0.050633	2017	hypersensitive response assay	Gene deletion: full; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	afc7a6586e6c0261900c1eb27bb22a45d077eaf1610541953b4f33b02e9d0e50
A0A0A2KIK6		PHI-base	v4.19	Penicillium italicum	unknown	303	9	0.029703	2022	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	740d4da785f89ea17d94ea9a39944087bf4578e145492c77bc1be20545615f12
A0A0A7DLN4		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	72	4	0.055556	2015	hypersensitive response assay	Gene disruption; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	fb118d39775fa1a1b0a50da502ccc1b93d87aed5ecf5a7d728dc369bf52e21f8
A0A0A7DM22		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	80	0	0.000000	2015	hypersensitive response assay	Gene disruption; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	98a5ef1eb402f2364ab034c3a0b540a3749b9298df3b13c6fdaa5cd63140169b
A0A0A7DMM3		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Magnaporthe oryzae	hemibiotroph	91	6	0.065934	2015	hypersensitive response assay	Gene disruption; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	578f718a275672d04ac9c53c6aaf7072e62d2c0e58c141642cffa3bbcea50bcc
A0A0B5L7L9		PHI-base	v4.19	Sporisorium scitamineum	unknown	176	4	0.022727	2021	hypersensitive response assay	Gene deletion: full	yes	1658f23301a92ab02bae98f28f7280db4046ac5c61e07b100eb3817125a152bb
A0A0C4DI32		PHI-base	v4.19	Fusarium oxysporum	hemibiotroph	155	3	0.019355	2022	hypersensitive response assay	Gene deletion: partial	yes	4d7b5169cd267970c2bec4f0d7c7395baf65d9f1cd519fc6c67f9e65e9dc3f80
A0A0D1BVD8		PHI-base	v4.19	Ustilago maydis	biotroph	218	2	0.009174	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	b527d43dea0a2ad7dedb1bd71c15137150750c518d0496cecc5fae9039ca6446
A0A0D1BVZ6		PHI-base	v4.19	Ustilago maydis	biotroph	381	1	0.002625	2024	hypersensitive response assay	Gene deletion: full	yes	bb0d993fd2c625ebc0600498eec80600096e44d9ca97acc5ff9453f31780481d
A0A0D1C393		PHI-base	v4.19	Ustilago maydis	biotroph	398	1	0.002513	2024	hypersensitive response assay	Gene deletion: full	yes	96cb405e14aae65a39e802f67a2842fd1ffc7c053d959838ab67a3795a76d6b7
A0A0D1C5E3		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	129	9	0.069767	2018	hypersensitive response assay	Gene mutation; gene complementation; PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences	yes	1d90f7d3b33a734fe96d3de34c9f37c90e7cfd504cc02eb418c8a1e03f2d342c
A0A0D1C6B8		PHI-base	v4.19	Ustilago maydis	biotroph	429	2	0.004662	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	e39123124757dd826e974dd8ad64f6cb993561b93e8f74396c99437bce142cf9
A0A0D1C6C3		PHI-base	v4.19	Ustilago maydis	biotroph	160	1	0.006250	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	71207816bfcf052b729e7dce390d9f3e65ee990f064bc12d2daecd3132a68d07
A0A0D1C8C8	A0A0D1C8C8	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis); Ustilago maydis	biotroph	157	1	0.006369	2024	hypersensitive response assay	Gene deletion: full; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	5d888dd4c7f0c919e5b9e126f567d9e59d56e888488b2439d9bf4ecd9bfc9ca4
A0A0D1CF25		PHI-base	v4.19	Ustilago maydis	biotroph	368	11	0.029891	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	b3f29e07ac8f8c43139e588dd6ac34384a12177d651ed6c05ade78b113905987
A0A0D1CFN1		PHI-base	v4.19	Ustilago maydis	biotroph	200	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	39cadf073ab4cde22ba1c81f9fc099f346e0bebb8110de36601294efd50913b5
A0A0D1CHF8		PHI-base	v4.19	Ustilago maydis	biotroph	171	4	0.023392	2024	hypersensitive response assay	Gene deletion: full	yes	1a48e988d04c1a6932ba5480faa58ddebfb8398857aa9fa87e2683ee1a34fb27
A0A0D1CJB9		PHI-base	v4.19	Ustilago maydis	biotroph	261	1	0.003831	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	d56f98fa91f3b6f76bf7076b4641c93fd02a103e333703365d58e7918a7ea05c
A0A0D1CND6		PHI-base	v4.19	Ustilago maydis	biotroph	363	1	0.002755	2024	hypersensitive response assay	Gene deletion: full	yes	0a8b5993fe0d418ae0e56f4f4100dfcc054859778fb4bd74b347a3136d7dfa45
A0A0D1CRF7		PHI-base	v4.19	Ustilago maydis	biotroph	166	0	0.000000	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	85adccfddd805f705e65a80c0e2c8986eebc5bf880ff805dac0481f3b438cb1d
A0A0D1CRG2		PHI-base	v4.19	Ustilago maydis	biotroph	179	0	0.000000	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	959b83bee0dd3fd8b7b67b0c073dfd959e4a42dd91af5345595667fee895ccce
A0A0D1CU07		PHI-base	v4.19	Ustilago maydis	biotroph	515	2	0.003883	2024	hypersensitive response assay	Gene deletion: full	yes	f7d6ece86c4573bde4951b477d83bbbe5ff223477dcc28d3eec9defa8b2d44b7
A0A0D1CW02		PHI-base	v4.19	Ustilago maydis	biotroph	113	6	0.053097	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	c03ced7b07c7bbc2475df7be7cf80df90b234459f25aeb8ebefb265df6e38013
A0A0D1CWP9		PHI-base	v4.19	Ustilago maydis	biotroph	276	5	0.018116	2024	hypersensitive response assay	Gene deletion: full	yes	c13f7036b76299f7ebdfc2e25deb6a9aea51af258e9a17033e40205686ccc42c
A0A0D1CXX9		PHI-base	v4.19	Ustilago maydis	biotroph	192	6	0.031250	2024	hypersensitive response assay	Gene deletion: full	yes	17790cba392b3f8eea19de5d33a370f45656bcbfc82e9b1f4dfc4ced8ecf7ba2
A0A0D1CYK5		PHI-base	v4.19	Ustilago maydis	biotroph	177	6	0.033898	2024	hypersensitive response assay	Gene deletion: full	yes	f15bd51648fbc4c34ef169992ecca27e8ed77f63ae6f9244dc2dfe1974260463
A0A0D1CZH2		PHI-base	v4.19	Ustilago maydis	biotroph	780	18	0.023077	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	56453ecaf36bc0ed69ebff728476bd20ab21d9667ef1b5d1432f8a65db085f62
A0A0D1D169		PHI-base	v4.19	Ustilago maydis	biotroph	354	8	0.022599	2021	hypersensitive response assay	Gene deletion: full; gene complementation	yes	2584e2226c042bfa45defe90fb342a2c29b4fb08d3d6ed1272c0b8b3c12ef14d
A0A0D1DMZ9		PHI-base	v4.19	Ustilago maydis	biotroph	742	1	0.001348	2024	hypersensitive response assay	Gene deletion: full	yes	0af1df1aee08be65ad496177579e10612fd1646c04ce90470c6d032a5b71a877
A0A0D1DPX0	A0A0D1DPX0	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis); Ustilago maydis	biotroph	260	3	0.011538	2024	hypersensitive response assay	Gene deletion: full; PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences	yes	a5b31d2a38deb771321360a61671e64405a819b0743edb46667d36d55dc0d4b7
A0A0D1DQD7		PHI-base	v4.19	Ustilago maydis	biotroph	167	1	0.005988	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	8c65e953c3a478111c335e961ce980f3ac8c2b79702e62abe4a6cb0429c25602
A0A0D1DRM3		PHI-base	v4.19	Ustilago maydis	biotroph	329	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	f27da237d5c5c7ae1982133eecd21e0456e0785601d80e8968c35ad4880ed52c
A0A0D1DRV1		PHI-base	v4.19	Ustilago maydis	biotroph	248	5	0.020161	2024	hypersensitive response assay	Gene deletion: full	yes	151f8ece894e7f5914256074d4c37a697cd13f51080447142e150a23b12691df
A0A0D1DT47		PHI-base	v4.19	Ustilago maydis	biotroph	569	10	0.017575	2024	hypersensitive response assay	Gene deletion: full	yes	620c5a03a88ae2efa67662256a116b9973c3f6be9ae129961077c8b0df632ad2
A0A0D1DTB8		PHI-base	v4.19	Ustilago maydis	biotroph	216	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	21ca2df4b30a9e7f4f2069713ead21e468bc558b81b4572f5f6db2f7a3e73949
A0A0D1DU27		PHI-base	v4.19	Ustilago maydis	biotroph	503	5	0.009940	2024	hypersensitive response assay	Gene deletion: full	yes	6d598690c4fe16a609e747f1d7fa7549c1d348626205640ed550e6849ac3fd01
A0A0D1DUC4		PHI-base	v4.19	Ustilago maydis	biotroph	332	1	0.003012	2024	hypersensitive response assay	Gene deletion: full	yes	dffb6dd200414fe065d5306440b1dc1f071859bc35aa8c983ce2b54856e9b5c6
A0A0D1DUQ9		PHI-base	v4.19	Ustilago maydis	biotroph	312	0	0.000000	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	8076b3a842841a5ae08b8493b0949cb14aab80bb7527f42e393a904af572ddf7
A0A0D1DV84		PHI-base	v4.19	Ustilago maydis	biotroph	168	5	0.029762	2024	hypersensitive response assay	Gene deletion: full	yes	148e83ff5d651a8ababc889bd7d1a72855476f2417242582211073548f6a3aa8
A0A0D1DWQ2	A0A0D1DWQ2	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis); Ustilago maydis	biotroph	290	2	0.006897	2019	hypersensitive response assay	Gene mutation; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	796336484e282cc835e20c667d703afb64659ea951b56efe5d6374f08fa96b6c
A0A0D1DWR4		PHI-base	v4.19	Ustilago maydis	biotroph	123	5	0.040650	2024	hypersensitive response assay	Gene deletion: full	yes	b54f911408b89f0fa003b1deccea2c762e973261451212cbac5ceffe23b5c0bd
A0A0D1DX64		PHI-base	v4.19	Ustilago maydis	biotroph	169	11	0.065089	2020	hypersensitive response assay	Gene deletion: full; gene complementation	yes	443308f0505a8616f14f0c401d4249bfffc37ef2f95e4cb3fb3e56a293a68165
A0A0D1DYI3		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	869	11	0.012658	2018	hypersensitive response assay; validated host-target interaction	Gene deletion: full; PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences; Predector literature record	yes	97dceb67c7121a61d16ea322f9c4249f7e8cf0a992037c93ca587de3e817122d
A0A0D1DYP1		PHI-base	v4.19	Ustilago maydis	biotroph	223	1	0.004484	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	a6ff496b0b4fd18250052c8f2d65e68df92ad5935ce9a327393d23bab9acc31f
A0A0D1DYP7		PHI-base	v4.19	Ustilago maydis	biotroph	208	1	0.004808	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	e32f3f01250a7b0d279db33a1e3c47ce3a1e912684f615e83cb4c7a5f4b4ce9e
A0A0D1DYX1		PHI-base	v4.19	Ustilago maydis	biotroph	365	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	38997cb214a93c37a06173fcc5ae172b9d61f9bc5d6be719349c1560defcaf1f
A0A0D1DZA9		PHI-base	v4.19	Ustilago maydis	biotroph	285	6	0.021053	2024	hypersensitive response assay	Gene deletion: full	yes	14f082a9dfaf80e10d584fa3a7d6baa6c26377fe2a738041b3ca75b17396dba7
A0A0D1DZX5		PHI-base	v4.19	Ustilago maydis	biotroph	166	1	0.006024	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	da4c11658e994f423754d4874c55b5f2310d2b4677d9c665a5083358653d4203
A0A0D1E0J1		PHI-base	v4.19	Ustilago maydis	biotroph	189	2	0.010582	2024	hypersensitive response assay	Gene deletion: full	yes	87fe9f1451a693aa6f3ff46340976928bc2c6c8a5f9c9a177bc073a319301e34
A0A0D1E167		PHI-base	v4.19	Ustilago maydis	biotroph	218	3	0.013761	2024	hypersensitive response assay	Gene deletion: full	yes	73436bc1d27ab3ce75ccee846c3ec46413f3b6adfbf327a3bc064c96ec558aa4
A0A0D1E1A9		PHI-base	v4.19	Ustilago maydis	biotroph	159	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	7fc54912fcba3f0cb90f8a35a8e83a4c744d41c5f0617c0dff2fc3ae7179f95b
A0A0D1E1D4		PHI-base	v4.19	Ustilago maydis	biotroph	203	1	0.004926	2024	hypersensitive response assay	Gene deletion: full	yes	e5c536f033e8a8caba42b3e63b0fac2b5d11d085d09876d7070ee4774153a885
A0A0D1E1G8		PHI-base	v4.19	Ustilago maydis	biotroph	626	2	0.003195	2024	hypersensitive response assay	Gene deletion: full	yes	1f8e8d7c50f25509953b0efa1e4a501dbf2211f9b03ce72f48597fe9dd8d92e7
A0A0D1E1H1		PHI-base	v4.19	Ustilago maydis	biotroph	297	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	e996d2ee490324e7e10fcc468ad521acbf20c2021b1c857f918c1463a4708ced
A0A0D1E1Y8		PHI-base	v4.19	Ustilago maydis	biotroph	206	1	0.004854	2024	hypersensitive response assay	Gene deletion: full	yes	9b2c5164759d1e4e50364e70b08c1f7f1eccc0d34dc4c47eb90db0f581379c08
A0A0D1E2J4		PHI-base	v4.19	Ustilago maydis	biotroph	399	0	0.000000	2024	hypersensitive response assay	Gene deletion: full	yes	b465f2da0f3f5ba0579301713eadf8d7cd70e541d4ace38c5a24b3c48268a6e0
A0A0D1E2M4		PHI-base	v4.19	Ustilago maydis	biotroph	258	28	0.108527	2024	hypersensitive response assay	Gene deletion: full	yes	4a73de35f57d59ac5a7dfe4dd794c1f508388d8973a23dbc5eb0d5c73380f1dd
A0A0D1E2W3		PHI-base	v4.19	Ustilago maydis	biotroph	232	4	0.017241	2024	hypersensitive response assay	Gene deletion: full	yes	148094bf4fce735a77f97cbe467e490404055973bd8a99c69a9fa162b90d32fe
A0A0D1E3H5		PHI-base	v4.19	Ustilago maydis	biotroph	703	7	0.009957	2022	hypersensitive response assay	Gene deletion: full; gene complementation	yes	11b6685086c5be779ac202b4d588e1a0c72e16432fc24b71b8c3d4aa758b80a1
A0A0D1E3X3		PHI-base	v4.19	Ustilago maydis	biotroph	197	1	0.005076	2022	hypersensitive response assay	Functional test in host: transient expression; gene deletion: full	yes	f1f0ea6300724cb268a1145d4ca7f59bc41b5fddd5123fa28866d0a6bac8e098
A0A0D1E3Z8		PHI-base	v4.19	Ustilago maydis	biotroph	448	1	0.002232	2024	hypersensitive response assay	Gene deletion: full	yes	2707cb4c4766861bd38695235badcc8f1ce46a55a49674c29225604de26bd054
A0A0D1E411		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	178	4	0.022472	2024	hypersensitive response assay	Gene deletion: full; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	e5e1258564e20e068af2e8e5d4d42aac00d4ba05f90ff783943e250f23f04f1c
A0A0D1E4Q7		PHI-base	v4.19	Ustilago maydis	biotroph	240	5	0.020833	2023	knockout virulence phenotype	Gene deletion: full	yes	adfe5e5e610599d4b41e29d84c4e8b95df22df655c14a721870d990ac5eca0f9
A0A0D1E4Y8	A0A0D1E4Y8	PHI-base	v4.19	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis); Ustilago maydis	biotroph	290	10	0.034483	2024	hypersensitive response assay	Gene deletion: full	yes	5e8720d8c0f50afe990703f52833440fd88d9556ba65a51578a061d7be5125f4
A0A0D1E5A8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	709	1	0.001410	2016	hypersensitive response assay	Gene deletion: full; gene complementation; PEACE source memberships: EffectorP_3.0_positives;FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	2f7c586a7cc99c47fd9a82f2ea20420dd86aa636839614096d4913f2bc1ca009
A0A0D1E5X9		PHI-base	v4.19	Ustilago maydis	biotroph	151	5	0.033113	2024	hypersensitive response assay	Gene deletion: full	yes	50bdc2d370cff7d9fababf348ecb276af67997053ebf8f41cbc91bcd773f5359
A0A0D1E6W5		PHI-base	v4.19	Ustilago maydis	biotroph	229	17	0.074236	2024	hypersensitive response assay	Gene deletion: full	yes	bf3000316fa22bf66d75622136c132915ffe6e36df3ee024ed085a2dff99f93e
A0A0D1E6Y4		PHI-base	v4.19	Ustilago maydis	biotroph	177	5	0.028249	2024	hypersensitive response assay	Gene deletion: full	yes	69f80bf28a27f4cc8a878b5916b01bc7ad5d7fe2e277631276c6846d64ece420
A0A0D1E701		PHI-base	v4.19	Ustilago maydis	biotroph	513	7	0.013645	2024	hypersensitive response assay	Gene deletion: full	yes	b26fbbf1dd16a79da46f8b11f235e8d891d3b63db9450d9012465ee448e6de7c
A0A0D1E8C1		PHI-base	v4.19	Ustilago maydis	biotroph	323	3	0.009288	2024	hypersensitive response assay	Gene deletion: full	yes	0db63b03c49eb0a6bfa2eba7f52f5ad953ea91e96a53c8a0f89ccb4193d01dd5
A0A0D1E951	A0A0D1E951	PHI-base	v4.19	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis); Ustilago maydis	biotroph	174	7	0.040230	2024	hypersensitive response assay	Gene deletion: full	yes	ce1a59c12ee6315cbae7ccf3d0797c91f96384982f6da80e52798ab1c5c862ed
A0A0D1E997		PHI-base	v4.19	Ustilago maydis	biotroph	605	3	0.004959	2024	hypersensitive response assay	Gene deletion: full	yes	b13ee28dabc1a93d211fcb28f96d9be3d758b664c06be84d240d2b52638e6e03
A0A0D1EAN2		PHI-base	v4.19	Ustilago maydis	biotroph	327	14	0.042813	2024	hypersensitive response assay	Gene deletion: full	yes	3b5da6a4657a8eb146002dc9e382e5fbd91ade88159f118645a04193b45bc058
A0A0D1EAR7	A0A0D1EAR7	PHI-base	v4.19	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis); Ustilago maydis	biotroph	120	1	0.008333	2024	hypersensitive response assay	Gene deletion: full	yes	b94003b20bb88098889c931aed6d67cba69d989ca3b32997a37a82434fb33b4d
A0A0D1EDY9		PHI-base	v4.19	Ustilago maydis	biotroph	160	9	0.056250	2024	hypersensitive response assay	Gene deletion: full	yes	9ec2d4cf1190d68726c3d2274c15bd5b96cff71f5838e85f5a73f79311ab3bbb
A0A0H4ITX1		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Magnaporthe oryzae	hemibiotroph	74	0	0.000000	2015	hypersensitive response assay	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	a4d3747656d888bfe1ffbf16c2556d8e44f24f93c6362537f2eca0d4defb29c0
A0A0I9ZBA9		PHI-base	v4.19	Fusarium sacchari	hemibiotroph	276	9	0.032609	2024	hypersensitive response assay	Gene deletion: full ; gene complementation	yes	96b5a591b6cb9e2c66f9b278bd5ce0af83ca27f65b206b2e6abe97296061a173
A0A0J9WVB5		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Fusarium oxysporum; Fusarium oxysporum f. sp. lycopersici	hemibiotroph	119	7	0.058824	2009	hypersensitive response assay; validated host-target interaction	Gene deletion: full ; gene complementation; Gene deletion: full; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_1.0;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	yes	3327dad717a1bfb46b1941217ee875107e53c7eab20157eb68c76594226f6887
A0A0L0V3D9		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Puccinia striiformis f. sp. tritici PST-78	biotroph	146	6	0.041096	2019	validated host-target interaction	Predector literature record	unknown	f08305ef07b8c23d93b3e98091b689ddb480da7e9782054a5f1e7abf43baf5a4
A0A0L0VA94		PHI-base	v4.19	Puccinia striiformis	biotroph	152	8	0.052632	2021	hypersensitive response assay	Altered gene expression / gene regulation: silencing; other evidence: transgenic plants	yes	4185b0084343ebd65a8384bef19da4895ec61d01daf3f0ae716b24f9fbf3c3ac
A0A0L0VHJ5		PHI-base	v4.19	Puccinia striiformis	biotroph	147	8	0.054422	2021	hypersensitive response assay	Altered gene expression / gene regulation: silencing; other evidence: transgenic plants	yes	3edc4e5c5c21b00c8d18897fdcc869d9a0f1879586f952986823beac4cc3808e
A0A0L0VYD3		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Puccinia graminis f. sp. tritici	biotroph	279	1	0.003584	2016	validated host-target interaction	Predector literature record	unknown	5ac5965bd8570edb306d5fad425733cf897701f59249314d74913065174d6796
