ID,Phase,Task,Owner_agent,Owner_human_proposed,Card,Exit_criterion,Blocks,Cost,status,started_on,completed_on,evidence_path
T3.3,W3-5 Tier 3,Construct validity check before functional certification for every tool,Instrument,Gilchan Park,-,Each tool states the quantity it returns and its relation to the scored quantity,T3.5,none,not started,,,
T3.4,W3-5 Tier 3,Curate the effector fold library for the structural channel,Curator,Xin Dai,-,"Named folds, source structures, and a written statement that pLDDT is a covariate",T2.4,low,not started,,,
T3.5,W3-5 Tier 3,Containerise four arms in Harbor on Predector Nextflow and conda packaging,Adversary,"Graham Neubig, CMU",-,One command runs a cell end to end on either site,T4.1,CMU effort,not started,,,
T3.6,W3-5 Tier 3,"Generate must-fire and must-not-fire controls for every gate, inheriting seeds S1 to S5",Adversary,Graham Neubig,B1,No gate arms until both of its controls have run,T5.4,none,not started,,,
T3.7,W3-5 Tier 3,"Verify grants for all four arms from traces and model-side calls, including memory disablement",Adversary,Graham Neubig,B2,"Arm 3 records a foundation-model firewall refusal; arm 4 returns a parseable score from the card-matching checkpoint; arms 1 and 2 satisfy their negative controls",T5.4,low,specified,2026-09-15,2026-09-15,handoff/w1/grant_verification.md
T4.1,W5 Tier 4,"HARNESS CONTROL. One panel, one known-good model, full tool surface",Adversary,Graham Neubig,-,Contract-compliant submission with per-candidate evidence,GATE 3,one panel of tokens,not started,,,
T4.2,W5 Tier 4,Rule on prompt symmetry against prompt neutrality and record it,Referee,David Park,E2,A written ruling naming the fabrication risk that file paths create for arm 1,T5.1,none,not started,,,
T4.3,W5 Tier 4,"Measure tokens, wall time and coverage per cell. Set S and the repair budget from the curve",Instrument,"Gilchan Park, David Park rules",C1,"S and repair budget written to the ledger, sized against the actual token allocation",GATE 3 T5.4,small,not started,,,
GATE 3,W5 Gate,Harness control passes and cost per cell fits the allocation at the chosen S,Panel,All five,A1,"Pass, or loop back to tier 3, never to the subject model",W6,none,not started,,,
T5.1,W6-8 Run,Freeze the preregistration and close the ledger for the run,Referee,David Park,E2,Hash recorded. Later amendments append rather than overwrite,T5.4,none,not started,,,
T5.2,W6-8 Run,Build the scored panels with disjoint structural clusters and same-organism decoys,Curator,Xin Dai,-,"Panel manifest with cluster IDs and an automated check that no cluster repeats. Every panel is stratified by whether its planted positive satisfies the canonical small, secreted, cysteine-rich profile, and the stratum is recorded in the panel manifest. The construction rule must exist before the panels do.",T5.4,moderate,not started,,,
T5.3,W6-8 Run,Build saprotroph-decoy control panels to estimate the unknown-positive background rate,Curator,Xin Dai,-,A background estimate that qualifies every absolute precision figure,T5.6,low,not started,,,
T5.4,W6-8 Run,Run four arms at the frozen S with an identical repair budget,"Instrument runs, Referee scores blind","Gilchan Park, David Park",C1,Coverage reported as a curve in S per arm. No arm scored zero for a wiring reason,T5.5 T5.6,the main token spend,not started,,,
T5.5,W6-8 Run,Score process metrics beside outcome against a forced-depth control at matched compute,Referee,David Park,C2,"Depth, explicit rejection and disagreement handling, each with its own denominator",T5.6,matched compute control,not started,,,
T5.6,W6-8 Run,"Report precision at twenty against chance, against Floor M plus, and with MDE at realised N",Referee,David Park,-,"No effect appears without its MDE. The agent-against-floor difference is reported separately on the canonical and non-canonical strata, never pooled without a statement. Labelled positives over-represent canonical effectors while the plausible agent edge lies on the non-canonical ones, so a pooled number is a lower bound.",GATE 4,none,not started,,,
GATE 4,W8 Gate,"Every arm measured, or explicitly declared unmeasured with a reason",Panel,All five,A1,"Pass, or fix the wiring and rescore before any claim leaves the project",report,none,not started,,,
TL.1,Standing,Live cohort agent. Scheduled ingest of new validated effectors under frozen rules,Curator,Xin Dai,D1,First refresh produces a dated vintage. No pooling across vintages without a statement,condition 3,"recurring, low",not started,,,
TV.1,Standing,Convene the asymmetric verifier panel at every gate,All five,Panel,A1,"Disagreement aggregated, not opinion. Verifiers sharing a source counted once",all gates,none,not started,,,
TV.2,Standing,Maintain the failure ledger. Classify every failure into one of the five classes,Adversary,Graham Neubig,E1,Each new failure either matches a class or forces a constitution amendment,constitution,none,not started,,,
