accession	organism	length	status
A0A023PXH4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	145	unlabelled_candidate_not_verified_negative
A0A023PXH5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	47	unlabelled_candidate_not_verified_negative
A0A023PXH6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	unlabelled_candidate_not_verified_negative
A0A023PXH9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	235	unlabelled_candidate_not_verified_negative
A0A023PXI0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	129	unlabelled_candidate_not_verified_negative
A0A023PXI4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	105	unlabelled_candidate_not_verified_negative
A0A023PXK2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	192	unlabelled_candidate_not_verified_negative
A0A023PXK7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	284	unlabelled_candidate_not_verified_negative
A0A023PXL1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	197	unlabelled_candidate_not_verified_negative
A0A023PXM2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	81	unlabelled_candidate_not_verified_negative
A0A023PXM7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	112	unlabelled_candidate_not_verified_negative
A0A023PXN3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	unlabelled_candidate_not_verified_negative
A0A023PXP4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132	unlabelled_candidate_not_verified_negative
A0A023PXP7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132	unlabelled_candidate_not_verified_negative
A0A023PXQ4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394	unlabelled_candidate_not_verified_negative
A0A023PXQ9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102	unlabelled_candidate_not_verified_negative
A0A023PYC6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	104	unlabelled_candidate_not_verified_negative
A0A023PYD0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	140	unlabelled_candidate_not_verified_negative
A0A023PYD3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111	unlabelled_candidate_not_verified_negative
A0A023PYD7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	172	unlabelled_candidate_not_verified_negative
A0A023PYE4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	107	unlabelled_candidate_not_verified_negative
A0A023PYF4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	145	unlabelled_candidate_not_verified_negative
A0A023PYI2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110	unlabelled_candidate_not_verified_negative
A0A023PYI5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	133	unlabelled_candidate_not_verified_negative
A0A023PYJ0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	108	unlabelled_candidate_not_verified_negative
A0A023PYJ4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111	unlabelled_candidate_not_verified_negative
A0A023PYJ7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	116	unlabelled_candidate_not_verified_negative
A0A023PZ99	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	116	unlabelled_candidate_not_verified_negative
A0A023PZA4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	116	unlabelled_candidate_not_verified_negative
A0A023PZA9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	115	unlabelled_candidate_not_verified_negative
A0A023PZD0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	216	unlabelled_candidate_not_verified_negative
A0A023PZE1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	111	unlabelled_candidate_not_verified_negative
A0A023PZE2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	unlabelled_candidate_not_verified_negative
A0A023PZE6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	104	unlabelled_candidate_not_verified_negative
A0A023PZE8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	133	unlabelled_candidate_not_verified_negative
A0A023PZE9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	123	unlabelled_candidate_not_verified_negative
A0A023PZF2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	135	unlabelled_candidate_not_verified_negative
A0A023PZF3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	158	unlabelled_candidate_not_verified_negative
A0A023PZF9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	107	unlabelled_candidate_not_verified_negative
A0A023PZG0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	170	unlabelled_candidate_not_verified_negative
A0A023PZG5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101	unlabelled_candidate_not_verified_negative
A0A023PZH4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101	unlabelled_candidate_not_verified_negative
A0A023PZH9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153	unlabelled_candidate_not_verified_negative
A0A023PZI1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	117	unlabelled_candidate_not_verified_negative
A0A023PZI4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	120	unlabelled_candidate_not_verified_negative
A0A023PZI9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157	unlabelled_candidate_not_verified_negative
A0A023PZJ3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	112	unlabelled_candidate_not_verified_negative
A0A023PZK4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	unlabelled_candidate_not_verified_negative
A0A023PZK9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	126	unlabelled_candidate_not_verified_negative
A0A023PZL7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	119	unlabelled_candidate_not_verified_negative
A0A023PZM3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	137	unlabelled_candidate_not_verified_negative
A0A023UA23	Amanita fuliginea (East Asian brown death cap)	23	unlabelled_candidate_not_verified_negative
A0A023UBA8	Amanita rimosa	23	unlabelled_candidate_not_verified_negative
A0A023UBX6	Amanita exitialis (Guangzhou destroying angel)	23	unlabelled_candidate_not_verified_negative
A0A023UBY3	Amanita phalloides (Death cap)	23	unlabelled_candidate_not_verified_negative
A0A023UCA6	Amanita fuligineoides	23	unlabelled_candidate_not_verified_negative
A0A023UCC1	Amanita fuligineoides	23	unlabelled_candidate_not_verified_negative
A0A024F910	Lecanicillium sp	8903	unlabelled_candidate_not_verified_negative
A0A024F9J0	Lecanicillium sp	580	unlabelled_candidate_not_verified_negative
A0A024FA41	Lecanicillium sp	365	unlabelled_candidate_not_verified_negative
A0A024RXP8	Trichoderma reesei (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / VTT-D-86271 / Rut C-30) (Hypocrea jecorina)	514	unlabelled_candidate_not_verified_negative
A0A024SC78	Trichoderma reesei (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / VTT-D-86271 / Rut C-30) (Hypocrea jecorina)	248	unlabelled_candidate_not_verified_negative
A0A024SH20	Trichoderma reesei (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / VTT-D-86271 / Rut C-30) (Hypocrea jecorina)	418	unlabelled_candidate_not_verified_negative
A0A024SH76	Trichoderma reesei (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / VTT-D-86271 / Rut C-30) (Hypocrea jecorina)	471	unlabelled_candidate_not_verified_negative
A0A024SIB3	Trichoderma reesei (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / VTT-D-86271 / Rut C-30) (Hypocrea jecorina)	347	unlabelled_candidate_not_verified_negative
A0A024SMV2	Trichoderma reesei (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / VTT-D-86271 / Rut C-30) (Hypocrea jecorina)	391	unlabelled_candidate_not_verified_negative
A0A024SNB7	Trichoderma reesei (strain ATCC 56765 / BCRC 32924 / NRRL 11460 / VTT-D-86271 / Rut C-30) (Hypocrea jecorina)	459	unlabelled_candidate_not_verified_negative
A0A059J0G5	Trichophyton interdigitale (strain MR816)	1567	unlabelled_candidate_not_verified_negative
A0A059J5P2	Trichophyton interdigitale (strain MR816)	85	unlabelled_candidate_not_verified_negative
A0A059JJ46	Trichophyton interdigitale (strain MR816)	1331	unlabelled_candidate_not_verified_negative
A0A059JK44	Trichophyton interdigitale (strain MR816)	1379	unlabelled_candidate_not_verified_negative
A0A060S684	Mycosarcoma maydis (Corn smut fungus) (Ustilago maydis)	585	unlabelled_candidate_not_verified_negative
A0A060SMC0	Pycnoporus cinnabarinus (Cinnabar-red polypore) (Trametes cinnabarina)	434	unlabelled_candidate_not_verified_negative
A0A061AYY2	Cyberlindnera fabianii (Yeast) (Hansenula fabianii)	371	unlabelled_candidate_not_verified_negative
A0A061B0Q2	Cyberlindnera fabianii (Yeast) (Hansenula fabianii)	335	unlabelled_candidate_not_verified_negative
A0A067CMC7	Saprolegnia parasitica (strain CBS 223.65)	211	unlabelled_candidate_not_verified_negative
A0A067MTM1	Botryobasidium botryosum (strain FD-172 SS1)	1711	unlabelled_candidate_not_verified_negative
A0A067N4H9	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	111	unlabelled_candidate_not_verified_negative
A0A067N4P3	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	104	unlabelled_candidate_not_verified_negative
A0A067N582	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	127	unlabelled_candidate_not_verified_negative
A0A067N648	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	108	unlabelled_candidate_not_verified_negative
A0A067N7P3	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	143	unlabelled_candidate_not_verified_negative
A0A067NFU6	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	125	unlabelled_candidate_not_verified_negative
A0A067NGV3	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	113	unlabelled_candidate_not_verified_negative
A0A067NHE1	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	112	unlabelled_candidate_not_verified_negative
A0A067NHW8	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	135	unlabelled_candidate_not_verified_negative
A0A067NMT6	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	115	unlabelled_candidate_not_verified_negative
A0A067NN74	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	111	unlabelled_candidate_not_verified_negative
A0A067NRJ8	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	128	unlabelled_candidate_not_verified_negative
A0A067NRQ5	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	133	unlabelled_candidate_not_verified_negative
A0A067P0I9	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	129	unlabelled_candidate_not_verified_negative
A0A067P1K6	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	116	unlabelled_candidate_not_verified_negative
A0A067P943	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	136	unlabelled_candidate_not_verified_negative
A0A067PCX8	Pleurotus ostreatus (strain PC15) (Oyster mushroom)	114	unlabelled_candidate_not_verified_negative
A0A067SEC9	Galerina marginata (strain CBS 339.88)	345	unlabelled_candidate_not_verified_negative
A0A067SLB9	Galerina marginata (strain CBS 339.88)	35	unlabelled_candidate_not_verified_negative
A0A067XMK8	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	444	unlabelled_candidate_not_verified_negative
A0A067XML2	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	138	unlabelled_candidate_not_verified_negative
A0A067XMN9	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	444	unlabelled_candidate_not_verified_negative
A0A067XMP0	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	610	unlabelled_candidate_not_verified_negative
A0A067XMP1	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	372	unlabelled_candidate_not_verified_negative
A0A067XMP2	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	585	unlabelled_candidate_not_verified_negative
A0A067XMT5	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	141	unlabelled_candidate_not_verified_negative
A0A067XMV3	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	313	unlabelled_candidate_not_verified_negative
A0A067XMV4	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	540	unlabelled_candidate_not_verified_negative
A0A067XNH7	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	261	unlabelled_candidate_not_verified_negative
A0A067XNI2	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	1746	unlabelled_candidate_not_verified_negative
A0A067Z9B6	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	400	unlabelled_candidate_not_verified_negative
A0A068A9T2	Penicillium brefeldianum (Eupenicillium brefeldianum)	513	unlabelled_candidate_not_verified_negative
A0A068A9T3	Penicillium brefeldianum (Eupenicillium brefeldianum)	248	unlabelled_candidate_not_verified_negative
A0A068AA78	Penicillium brefeldianum (Eupenicillium brefeldianum)	489	unlabelled_candidate_not_verified_negative
A0A068AA98	Penicillium brefeldianum (Eupenicillium brefeldianum)	508	unlabelled_candidate_not_verified_negative
A0A068ABB7	Penicillium brefeldianum (Eupenicillium brefeldianum)	2373	unlabelled_candidate_not_verified_negative
A0A068ACU3	Penicillium brefeldianum (Eupenicillium brefeldianum)	502	unlabelled_candidate_not_verified_negative
A0A075DVI9	Gibberella intermedia (Bulb rot disease fungus) (Fusarium proliferatum)	323	unlabelled_candidate_not_verified_negative
A0A075TJ05	Aspergillus niger	480	unlabelled_candidate_not_verified_negative
A0A075TMP0	Penicillium expansum (Blue mold rot fungus)	340	unlabelled_candidate_not_verified_negative
A0A075TMP8	Penicillium expansum (Blue mold rot fungus)	526	unlabelled_candidate_not_verified_negative
A0A075TR27	Penicillium expansum (Blue mold rot fungus)	199	unlabelled_candidate_not_verified_negative
A0A075TR33	Penicillium expansum (Blue mold rot fungus)	571	unlabelled_candidate_not_verified_negative
A0A075TR41	Penicillium expansum (Blue mold rot fungus)	326	unlabelled_candidate_not_verified_negative
A0A075TRA9	Penicillium expansum (Blue mold rot fungus)	546	unlabelled_candidate_not_verified_negative
A0A075TRB3	Penicillium expansum (Blue mold rot fungus)	259	unlabelled_candidate_not_verified_negative
A0A075TRC0	Penicillium expansum (Blue mold rot fungus)	1776	unlabelled_candidate_not_verified_negative
A0A075TRK9	Penicillium expansum (Blue mold rot fungus)	628	unlabelled_candidate_not_verified_negative
A0A075TRL0	Penicillium expansum (Blue mold rot fungus)	249	unlabelled_candidate_not_verified_negative
A0A075TRL5	Penicillium expansum (Blue mold rot fungus)	524	unlabelled_candidate_not_verified_negative
A0A075TXZ1	Penicillium expansum (Blue mold rot fungus)	324	unlabelled_candidate_not_verified_negative
A0A075TXZ3	Penicillium expansum (Blue mold rot fungus)	561	unlabelled_candidate_not_verified_negative
A0A075TXZ8	Penicillium expansum (Blue mold rot fungus)	799	unlabelled_candidate_not_verified_negative
A0A080WMA9	Trichophyton rubrum (strain ATCC MYA-4607 / CBS 118892) (Athlete's foot fungus)	362	unlabelled_candidate_not_verified_negative
A0A084AFG6	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	385	unlabelled_candidate_not_verified_negative
A0A084AFG7	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	401	unlabelled_candidate_not_verified_negative
A0A084AFG8	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	230	unlabelled_candidate_not_verified_negative
A0A084AFG9	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	712	unlabelled_candidate_not_verified_negative
A0A084API1	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	526	unlabelled_candidate_not_verified_negative
A0A084API3	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	2383	unlabelled_candidate_not_verified_negative
A0A084API4	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	455	unlabelled_candidate_not_verified_negative
A0A084B9Y9	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	294	unlabelled_candidate_not_verified_negative
A0A084B9Z1	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	271	unlabelled_candidate_not_verified_negative
A0A084B9Z2	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	268	unlabelled_candidate_not_verified_negative
A0A084B9Z3	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	463	unlabelled_candidate_not_verified_negative
A0A084B9Z4	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	485	unlabelled_candidate_not_verified_negative
A0A084B9Z5	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	470	unlabelled_candidate_not_verified_negative
A0A084B9Z6	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	2602	unlabelled_candidate_not_verified_negative
A0A084B9Z7	Stachybotrys chartarum (strain CBS 109288 / IBT 7711) (Toxic black mold) (Stilbospora chartarum)	208	unlabelled_candidate_not_verified_negative
A0A084FUY7	Pseudallescheria apiosperma (Scedosporium apiospermum)	536	unlabelled_candidate_not_verified_negative
A0A084G2W8	Pseudallescheria apiosperma (Scedosporium apiospermum)	94	unlabelled_candidate_not_verified_negative
A0A084GDT6	Pseudallescheria apiosperma (Scedosporium apiospermum)	2490	unlabelled_candidate_not_verified_negative
A0A084GDT8	Pseudallescheria apiosperma (Scedosporium apiospermum)	509	unlabelled_candidate_not_verified_negative
A0A084GDU0	Pseudallescheria apiosperma (Scedosporium apiospermum)	391	unlabelled_candidate_not_verified_negative
A0A084GDU1	Pseudallescheria apiosperma (Scedosporium apiospermum)	515	unlabelled_candidate_not_verified_negative
A0A084GDU2	Pseudallescheria apiosperma (Scedosporium apiospermum)	277	unlabelled_candidate_not_verified_negative
A0A084GDU3	Pseudallescheria apiosperma (Scedosporium apiospermum)	1597	unlabelled_candidate_not_verified_negative
A0A084GDU4	Pseudallescheria apiosperma (Scedosporium apiospermum)	442	unlabelled_candidate_not_verified_negative
A0A084GDU5	Pseudallescheria apiosperma (Scedosporium apiospermum)	322	unlabelled_candidate_not_verified_negative
A0A084GDU6	Pseudallescheria apiosperma (Scedosporium apiospermum)	531	unlabelled_candidate_not_verified_negative
A0A084GDU7	Pseudallescheria apiosperma (Scedosporium apiospermum)	225	unlabelled_candidate_not_verified_negative
A0A084R1H6	Stachybotrys chlorohalonatus (strain IBT 40285)	2435	unlabelled_candidate_not_verified_negative
A0A084R1I1	Stachybotrys chlorohalonatus (strain IBT 40285)	391	unlabelled_candidate_not_verified_negative
A0A084R1J1	Stachybotrys chlorohalonatus (strain IBT 40285)	478	unlabelled_candidate_not_verified_negative
A0A084R1J2	Stachybotrys chlorohalonatus (strain IBT 40285)	446	unlabelled_candidate_not_verified_negative
A0A084R1K1	Stachybotrys chlorohalonatus (strain IBT 40285)	320	unlabelled_candidate_not_verified_negative
A0A084R1K2	Stachybotrys chlorohalonatus (strain IBT 40285)	253	unlabelled_candidate_not_verified_negative
A0A084R1K6	Stachybotrys chlorohalonatus (strain IBT 40285)	297	unlabelled_candidate_not_verified_negative
A0A084R1M6	Stachybotrys chlorohalonatus (strain IBT 40285)	513	unlabelled_candidate_not_verified_negative
A0A084R1M7	Stachybotrys chlorohalonatus (strain IBT 40285)	524	unlabelled_candidate_not_verified_negative
A0A084R1N8	Stachybotrys chlorohalonatus (strain IBT 40285)	133	unlabelled_candidate_not_verified_negative
A0A086T5L8	Hapsidospora chrysogenum (strain ATCC 11550 / CBS 779.69 / DSM 880 / IAM 14645 / JCM 23072 / IMI 49137) (Acremonium chrysogenum)	514	unlabelled_candidate_not_verified_negative
A0A089FNE5	Fungal sp. (strain NRRL 50135)	495	unlabelled_candidate_not_verified_negative
A0A089FS99	Fungal sp. (strain NRRL 50135)	360	unlabelled_candidate_not_verified_negative
A0A089FSA4	Fungal sp. (strain NRRL 50135)	4037	unlabelled_candidate_not_verified_negative
A0A089GT80	Fungal sp. (strain NRRL 50135)	408	unlabelled_candidate_not_verified_negative
A0A089GT84	Fungal sp. (strain NRRL 50135)	494	unlabelled_candidate_not_verified_negative
A0A090CRQ9	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383) (Pleurage anserina)	229	unlabelled_candidate_not_verified_negative
A0A095C325	Cryptococcus deuterogattii (strain R265) (Cryptococcus gattii VGII (strain R265))	1408	unlabelled_candidate_not_verified_negative
A0A095C6S0	Cryptococcus deuterogattii (strain R265) (Cryptococcus gattii VGII (strain R265))	392	unlabelled_candidate_not_verified_negative
A0A095CCB2	Cryptococcus deuterogattii (strain R265) (Cryptococcus gattii VGII (strain R265))	374	unlabelled_candidate_not_verified_negative
A0A097PTA8	Coprinopsis cinerea (Inky cap fungus) (Hormographiella aspergillata)	184	unlabelled_candidate_not_verified_negative
A0A097ZPC9	Emericella variicolor (Aspergillus stellatus)	252	unlabelled_candidate_not_verified_negative
A0A097ZPD4	Emericella variicolor (Aspergillus stellatus)	337	unlabelled_candidate_not_verified_negative
A0A097ZPD5	Emericella variicolor (Aspergillus stellatus)	293	unlabelled_candidate_not_verified_negative
A0A097ZPD8	Emericella variicolor (Aspergillus stellatus)	236	unlabelled_candidate_not_verified_negative
A0A097ZPD9	Emericella variicolor (Aspergillus stellatus)	285	unlabelled_candidate_not_verified_negative
A0A097ZPE0	Emericella variicolor (Aspergillus stellatus)	2430	unlabelled_candidate_not_verified_negative
A0A097ZPE2	Emericella variicolor (Aspergillus stellatus)	481	unlabelled_candidate_not_verified_negative
A0A097ZPE3	Emericella variicolor (Aspergillus stellatus)	327	unlabelled_candidate_not_verified_negative
A0A097ZPE4	Emericella variicolor (Aspergillus stellatus)	865	unlabelled_candidate_not_verified_negative
A0A097ZPE8	Emericella variicolor (Aspergillus stellatus)	290	unlabelled_candidate_not_verified_negative
A0A097ZPF7	Emericella variicolor (Aspergillus stellatus)	471	unlabelled_candidate_not_verified_negative
A0A097ZPG2	Emericella variicolor (Aspergillus stellatus)	633	unlabelled_candidate_not_verified_negative
A0A098CZ12	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	430	unlabelled_candidate_not_verified_negative
A0A098D065	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	1429	unlabelled_candidate_not_verified_negative
